-1.6471,-2.3069,-2.3589
-1.5335,-1.9057,-1.9037
-1.4199,-1.5147,-1.5112
-1.3063,-1.2566,-1.1768
-1.1927,-0.79385,-0.89572
-1.0791,-0.67672,-0.6634
-0.96554,-0.54664,-0.47518
-0.85194,-0.19129,-0.32643
-0.73835,-0.23497,-0.21249
-0.62476,-0.18764,-0.12873
-0.51117,-0.099884,-0.070509
-0.39757,-0.11797,-0.033175
-0.28398,-0.1241,-0.01209
-0.17039,0.24999,-0.0026114
-0.056796,0.16545,-9.672e-05
0.056796,0.03085,9.672e-05
0.17039,-0.1231,0.0026114
0.28398,-0.074457,0.01209
0.39757,0.015521,0.033175
0.51117,0.14965,0.070509
0.62476,-0.0044666,0.12873
0.73835,-0.020494,0.21249
0.85194,0.18152,0.32643
0.96554,0.50853,0.47518
1.0791,0.70254,0.6634
1.1927,0.94089,0.89572
1.3063,1.1638,1.1768
1.4199,1.5296,1.5112
1.5335,1.8561,1.9037
1.6471,2.4451,2.3589
