-5,25.7
-4.7959,25.501
-4.5918,22.945
-4.3878,19.732
-4.1837,16.122
-3.9796,14.534
-3.7755,16.639
-3.5714,9.5314
-3.3673,11.29
-3.1633,6.1086
-2.9592,10.798
-2.7551,9.314
-2.551,6.51
-2.3469,5.3664
-2.1429,-0.38073
-1.9388,4.9212
-1.7347,-1.3757
-1.5306,-2.2958
-1.3265,1.9196
-1.1224,-0.63707
-0.91837,1.6664
-0.71429,1.8642
-0.5102,1.9758
-0.30612,-1.2886
-0.10204,0.90917
0.10204,0.21168
0.30612,1.7459
0.5102,1.3326
0.71429,2.306
0.91837,0.57952
1.1224,0.96549
1.3265,3.7752
1.5306,-1.9045
1.7347,2
1.9388,1.2177
2.1429,3.8267
2.3469,6.8055
2.551,8.1592
2.7551,5.5607
2.9592,7.8146
3.1633,10.28
3.3673,10.755
3.5714,13.359
3.7755,15.054
3.9796,13.977
4.1837,17.149
4.3878,14.988
4.5918,23.376
4.7959,21.743
5,22.592
